,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_es
0,en,1440748222641688579,66788149,Because of that   The court is required to find that the City failed to meet its burden of proving that the Vaccine Mandate furthers a compelling interest in the least restrictive way   the judge ruled ,1440748447682883585,True,Because of that   The court is required to find that the City failed to meet its burden of proving that the Vaccine Mandate furthers a compelling interest in the least restrictive way   the judge ruled ,2021-09-22T18:42:52.000Z,USA,"Because of that, ""The court is required to find that the City failed to meet its burden of proving that the Vaccine Mandate furthers a compelling interest in the least restrictive way,"" the judge ruled.",[],[],[],['https://t.co/nenhv6LZCM'],
1,en,1440748222641688579,66788149,The judge says the city presented no evidence at all,1440748382683762698,True,The judge says the city presented no evidence at all,2021-09-22T18:42:36.000Z,USA,The judge says the city presented no evidence at all,[],[],[],[],
2,en,1440747111268552713,293284641,Baker notes that testing is a  terrific surveillance tool   but that the  primary objective  of the vaccine mandate is  well  making sure people are vaccinated ,1440747113059479559,True,Baker notes that testing is a  terrific surveillance tool   but that the  primary objective  of the vaccine mandate is  well  making sure people are vaccinated ,2021-09-22T18:37:34.000Z,USA,"Baker notes that testing is a ""terrific surveillance tool,"" but that the ""primary objective"" of the vaccine mandate is, well, making sure people are vaccinated.",[],[],[],['https://t.co/tWdBhpS5tm'],
3,en,1440745920182640640,22502043, BenSpurr Professional blue collar contrast,1440748274009313289,False, BenSpurr Professional blue collar contrast,2021-09-22T18:42:10.000Z,USA,@BenSpurr Professional/blue collar contrast,[],[],['BenSpurr'],[],
4,en,1440745920182640640,22502043, BenSpurr That Richmond Hill GO Line station near  Thorncliffe that has never been proposed  and is never going to be built is looking mighty good right now ,1440747785754533888,False, BenSpurr That Richmond Hill GO Line station near  Thorncliffe that has never been proposed  and is never going to be built is looking mighty good right now ,2021-09-22T18:40:14.000Z,USA,"@BenSpurr That Richmond Hill GO Line station near #Thorncliffe that has never been proposed, and is never going to be built is looking mighty good right now!",[],['Thorncliffe'],['BenSpurr'],['https://t.co/HEDuVEzJyU'],
5,en,1440744835267264516,1209936918, OANN  CSinclairtv GO NY     RiseUp America ,1440747957905625088,False, OANN  CSinclairtv GO NY     RiseUp America ,2021-09-22T18:40:55.000Z,USA,@OANN @CSinclairtv GO NY!!! #RiseUp America 🇺🇸,['🇺🇸'],['RiseUp'],"['OANN', 'CSinclairtv']",[],
6,en,1440744835267264516,1209936918, OANN  CSinclairtv If powers can gin up hysteria over klimate warming like thy did about wu flue    they can seize total power over us nobodies ,1440746878090448906,False, OANN  CSinclairtv If powers can gin up hysteria over klimate warming like thy did about wu flue    they can seize total power over us nobodies ,2021-09-22T18:36:38.000Z,USA,@OANN @CSinclairtv If powers can gin up hysteria over klimate warming like thy did about wu.flue... they can seize total power over us nobodies.,[],[],"['OANN', 'CSinclairtv']",['https://t.co/bWpDtiJW4S'],
7,en,1440743202764427267,29097819, EpochTimes  KenPaxtonTX None will answer this question If t ban biden believes the crap he is shoving down our throats Why r illegals Congress judicial branch elected politicians  amp staffers exempt from the mandatehttps   t co Pv36Qx90Byt Response amp utm term EMAIL amp utm content Newsletter amp utm campaign bizpa,1440746792123916298,False, EpochTimes  KenPaxtonTX None will answer this question If t ban biden believes the crap he is shoving down our throats Why r illegals Congress judicial branch elected politicians  amp staffers exempt from the mandatehttps   t co Pv36Qx90Byt Response amp utm term EMAIL amp utm content Newsletter amp utm campaign bizpa,2021-09-22T18:36:17.000Z,USA,"@EpochTimes @KenPaxtonTX None will answer this question/If t-ban-biden believes the crap he is shoving down our throats Why r illegals,Congress,judicial branch,elected politicians &amp;staffers exempt from the mandate
https://t.co/Pv36Qx90By
t+Response&amp;utm_term=EMAIL&amp;utm_content=Newsletter&amp;utm_campaign=bizpa",[],[],"['EpochTimes', 'KenPaxtonTX']",['https://t.co/p4UnctRHRj'],
8,en,1440743202764427267,29097819, EpochTimes  KenPaxtonTX PROOF BIDEN AND UN ARE INSTRUCTING MIGRANTS HOW TO COME TO THE US https   t co iTcC9Dnzkc,1440744804388720641,False, EpochTimes  KenPaxtonTX PROOF BIDEN AND UN ARE INSTRUCTING MIGRANTS HOW TO COME TO THE US https   t co iTcC9Dnzkc,2021-09-22T18:28:23.000Z,USA,@EpochTimes @KenPaxtonTX PROOF BIDEN AND UN ARE INSTRUCTING MIGRANTS HOW TO COME TO THE US https://t.co/iTcC9Dnzkc,[],[],"['EpochTimes', 'KenPaxtonTX']",['https://t.co/iTcC9Dnzkc'],
9,en,1440743191175565325,1393764413606354947, gogoMAGAgo Thank you ,1440745794424901635,False, gogoMAGAgo Thank you ,2021-09-22T18:32:19.000Z,USA,@gogoMAGAgo Thank you ❤,['❤'],[],['gogoMAGAgo'],[],
